crop,fold_id,train_start_year,train_end_year,test_year,train_samples,test_samples,model,mae,rmse,r2,mape,smape,best_baseline_model,best_baseline_mae,win_vs_baseline,mae_improvement_pct,mean_residual,std_residual
Rice,4,2011,2016,2017,1851,307,Naive Persistence,441.43,704.57,0.6036,17.72,32.87,Historical District Mean,324.99,False,0.0,-127.56,692.93
Rice,4,2011,2016,2017,1851,307,Linear District Trend,347.24,538.1,0.7688,18.13,24.27,Historical District Mean,324.99,False,0.0,71.74,533.29
Rice,4,2011,2016,2017,1851,307,RandomForestRegressor,322.74,494.53,0.8047,17.97,25.01,Historical District Mean,324.99,True,0.69,48.57,492.14
Rice,4,2011,2016,2017,1851,307,GradientBoostingRegressor,342.58,500.7,0.7998,19.48,35.02,Historical District Mean,324.99,False,-5.41,1.95,500.7
Sesamum,1,2011,2013,2014,926,304,Historical District Mean,132.35,215.22,0.4046,32.28,56.51,Historical District Mean,132.35,False,0.0,-33.12,212.66
Sesamum,1,2011,2013,2014,926,304,Naive Persistence,168.44,243.54,0.2376,30.18,70.97,Historical District Mean,132.35,False,0.0,-59.32,236.2
Sesamum,1,2011,2013,2014,926,304,Linear District Trend,160.01,250.35,0.1944,41.05,67.49,Historical District Mean,132.35,False,0.0,-11.56,250.08
Sesamum,1,2011,2013,2014,926,304,RandomForestRegressor,135.54,207.38,0.4472,32.12,64.58,Historical District Mean,132.35,False,-2.41,-18.57,206.54
Sesamum,1,2011,2013,2014,926,304,GradientBoostingRegressor,138.13,209.36,0.4366,33.48,71.37,Historical District Mean,132.35,False,-4.37,-18.9,208.5
Sesamum,2,2011,2014,2015,1230,309,Historical District Mean,133.66,210.84,0.3973,45.93,53.73,Historical District Mean,133.66,False,0.0,-20.52,209.84
Sesamum,2,2011,2014,2015,1230,309,Naive Persistence,170.92,237.63,0.2345,47.6,68.23,Historical District Mean,133.66,False,0.0,-72.82,226.19
Sesamum,2,2011,2014,2015,1230,309,Linear District Trend,147.3,225.78,0.3089,55.7,63.91,Historical District Mean,133.66,False,0.0,1.73,225.77
Sesamum,2,2011,2014,2015,1230,309,RandomForestRegressor,128.47,195.08,0.4841,44.0,54.71,Historical District Mean,133.66,True,3.88,-12.33,194.69
Sesamum,2,2011,2014,2015,1230,309,GradientBoostingRegressor,129.71,192.88,0.4957,46.03,68.88,Historical District Mean,133.66,True,2.96,-6.48,192.77
Sesamum,3,2011,2015,2016,1539,310,Historical District Mean,125.35,207.07,0.4567,39.26,44.06,Historical District Mean,125.35,False,0.0,20.65,206.04
Sesamum,3,2011,2015,2016,1539,310,Naive Persistence,176.22,251.48,0.1987,59.11,63.39,Historical District Mean,125.35,False,0.0,-25.7,250.17
Sesamum,3,2011,2015,2016,1539,310,Linear District Trend,153.38,248.03,0.2205,63.68,62.1,Historical District Mean,125.35,False,0.0,39.67,244.84
Sesamum,3,2011,2015,2016,1539,310,RandomForestRegressor,130.59,205.19,0.4665,45.33,47.62,Historical District Mean,125.35,False,-4.18,26.53,203.47
Sesamum,3,2011,2015,2016,1539,310,GradientBoostingRegressor,130.9,203.53,0.4752,42.41,58.87,Historical District Mean,125.35,False,-4.43,32.26,200.95
Sesamum,4,2011,2016,2017,1849,307,Historical District Mean,158.17,435.43,0.0997,94.83,46.38,Historical District Mean,158.17,False,0.0,91.28,425.75
Sesamum,4,2011,2016,2017,1849,307,Naive Persistence,160.83,399.87,0.2407,78.0,45.39,Historical District Mean,158.17,False,0.0,24.55,399.12
Sesamum,4,2011,2016,2017,1849,307,Linear District Trend,173.89,428.27,0.129,83.33,56.53,Historical District Mean,158.17,False,0.0,95.47,417.5
Sesamum,4,2011,2016,2017,1849,307,RandomForestRegressor,161.38,428.79,0.1269,90.07,46.28,Historical District Mean,158.17,False,-2.03,83.58,420.56
Sesamum,4,2011,2016,2017,1849,307,GradientBoostingRegressor,160.06,423.26,0.1493,93.15,51.55,Historical District Mean,158.17,False,-1.19,78.9,415.84
Chickpea,1,2011,2013,2014,925,304,Historical District Mean,280.84,413.35,0.2365,46.52,44.94,Historical District Mean,280.84,False,0.0,-112.75,397.68
Chickpea,1,2011,2013,2014,925,304,Naive Persistence,326.16,451.72,0.0882,31.9,55.14,Historical District Mean,280.84,False,0.0,-168.56,419.09
