crop,state,district,observations_count,ml_mae,baseline_mae,ml_improvement_pct,ml_win_rate,is_best_ml_district,is_worst_ml_district,is_high_error_district
Minor Pulses,Orissa,Sundargarh,4,35.52,9.42,-277.07,0.0,False,True,False
Minor Pulses,Punjab,Amritsar,4,128.87,150.3,14.26,75.0,True,False,False
Minor Pulses,Punjab,Bhatinda,4,235.97,233.35,-1.12,25.0,False,True,False
Minor Pulses,Punjab,Ferozpur,4,162.53,115.78,-40.38,25.0,False,True,False
Minor Pulses,Punjab,Gurdaspur,4,105.95,176.8,40.07,50.0,False,False,False
Minor Pulses,Punjab,Hoshiarpur,4,200.38,233.37,14.14,50.0,False,False,False
Minor Pulses,Punjab,Jalandhar,4,426.3,369.27,-15.44,50.0,False,True,False
Minor Pulses,Punjab,Kapurthala,4,656.39,662.5,0.92,50.0,False,False,True
Minor Pulses,Punjab,Ludhiana,4,179.15,148.03,-21.02,50.0,False,True,False
Minor Pulses,Punjab,Patiala,4,308.0,489.43,37.07,50.0,False,False,False
Minor Pulses,Punjab,Roopnagar / Ropar,4,142.79,137.67,-3.72,50.0,False,False,False
Minor Pulses,Punjab,Sangrur,3,232.07,88.8,-161.34,33.33,False,True,False
Minor Pulses,Rajasthan,Ajmer,4,102.29,121.03,15.48,25.0,False,True,False
Minor Pulses,Rajasthan,Alwar,4,1480.57,809.72,-82.85,25.0,False,True,True
Minor Pulses,Rajasthan,Banswara,4,162.76,164.88,1.29,50.0,False,False,False
Minor Pulses,Rajasthan,Barmer,4,281.56,113.48,-148.11,0.0,False,True,False
Minor Pulses,Rajasthan,Bharatpur,4,417.21,437.32,4.6,75.0,False,False,False
Minor Pulses,Rajasthan,Bhilwara,4,168.42,171.72,1.92,25.0,False,True,False
Minor Pulses,Rajasthan,Bikaner,4,99.38,136.53,27.21,50.0,False,False,False
Minor Pulses,Rajasthan,Bundi,4,91.32,102.18,10.63,50.0,False,False,False
Minor Pulses,Rajasthan,Chittorgarh,4,152.21,165.57,8.07,25.0,False,True,False
Minor Pulses,Rajasthan,Churu,4,115.11,73.42,-56.78,50.0,False,True,False
Minor Pulses,Rajasthan,Dungarpur,4,114.15,108.25,-5.45,25.0,False,True,False
Minor Pulses,Rajasthan,Ganganagar,4,87.74,133.71,34.38,50.0,False,False,False
Minor Pulses,Rajasthan,Jaipur,4,175.47,208.13,15.69,75.0,True,False,False
Minor Pulses,Rajasthan,Jaisalmer,4,189.81,120.81,-57.11,25.0,False,True,False
Minor Pulses,Rajasthan,Jalore,4,134.0,157.68,15.02,50.0,False,False,False
Minor Pulses,Rajasthan,Jhalawar,4,202.59,180.68,-12.13,25.0,False,True,False
Minor Pulses,Rajasthan,Jhunjhunu,4,215.72,245.22,12.03,50.0,False,False,False
