crop,fold_id,test_year,experiment_id,experiment_name,feature_group,n_features,algorithm,test_records,mae,rmse,r2,mape,smape,baseline_mae,historical_mae,improvement_vs_baseline_pct,improvement_vs_historical_pct,win_vs_baseline,win_vs_historical
Chickpea,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,306,262.03,447.2,0.2981,21.76,43.56,272.87,255.83,3.97,-2.42,True,False
Chickpea,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,306,246.75,432.18,0.3445,20.86,42.1,272.87,255.83,9.57,3.55,True,True
Chickpea,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,306,259.46,440.93,0.3177,21.73,43.34,272.87,255.83,4.91,-1.42,True,False
Chickpea,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,306,249.79,432.37,0.3439,20.8,42.28,272.87,255.83,8.46,2.36,True,True
Kharif Sorghum,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,304,292.36,485.99,0.5426,44.86,102.62,283.1,292.36,-3.27,0.0,False,False
Kharif Sorghum,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,304,336.76,504.26,0.5075,44.81,102.09,283.1,292.36,-18.96,-15.19,False,False
Kharif Sorghum,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,304,335.76,523.13,0.47,47.79,102.92,283.1,292.36,-18.6,-14.85,False,False
Kharif Sorghum,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,304,356.78,521.4,0.4735,46.65,101.88,283.1,292.36,-26.02,-22.03,False,False
Kharif Sorghum,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,304,356.47,521.23,0.4739,47.2,101.67,283.1,292.36,-25.92,-21.93,False,False
Kharif Sorghum,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,309,272.86,457.47,0.4992,50.6,101.97,303.73,272.86,10.16,0.0,True,False
Kharif Sorghum,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,309,284.92,462.79,0.4874,52.93,102.65,303.73,272.86,6.19,-4.42,True,False
Kharif Sorghum,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,309,288.9,461.59,0.4901,53.68,101.05,303.73,272.86,4.88,-5.88,True,False
Kharif Sorghum,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,309,285.97,455.78,0.5028,53.2,102.55,303.73,272.86,5.85,-4.81,True,False
Kharif Sorghum,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,309,283.2,451.61,0.5119,52.48,102.69,303.73,272.86,6.76,-3.79,True,False
Kharif Sorghum,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,275.52,444.96,0.5774,43.24,104.17,264.56,275.52,-4.14,0.0,False,False
Kharif Sorghum,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,364.47,472.39,0.5237,40.19,100.97,264.56,275.52,-37.76,-32.28,False,False
Kharif Sorghum,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,279.21,445.02,0.5773,43.24,104.26,264.56,275.52,-5.54,-1.34,False,False
Kharif Sorghum,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,358.47,474.77,0.5189,41.67,101.15,264.56,275.52,-35.49,-30.1,False,False
Kharif Sorghum,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,363.69,483.59,0.5008,40.72,100.82,264.56,275.52,-37.47,-32.0,False,False
Kharif Sorghum,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,307,371.74,619.56,0.4406,38.49,106.09,335.39,371.74,-10.84,0.0,False,False
Kharif Sorghum,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,307,357.75,611.65,0.4548,36.82,103.89,335.39,371.74,-6.67,3.76,False,True
Kharif Sorghum,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,307,364.41,609.4,0.4588,37.47,103.82,335.39,371.74,-8.65,1.97,False,True
Kharif Sorghum,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,307,359.51,612.65,0.453,37.17,103.77,335.39,371.74,-7.19,3.29,False,True
Kharif Sorghum,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,353.78,605.72,0.4654,36.43,103.29,335.39,371.74,-5.48,4.83,False,True
Minor Pulses,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,304,346.28,599.04,-0.0784,41.89,68.48,348.9,346.28,0.75,0.0,True,False
Minor Pulses,1,2014,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,304,357.4,608.88,-0.1141,47.34,79.33,348.9,346.28,-2.44,-3.21,False,False
Minor Pulses,1,2014,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,304,354.82,594.56,-0.0623,40.71,69.73,348.9,346.28,-1.7,-2.47,False,False
Minor Pulses,1,2014,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,304,362.24,581.12,-0.0148,44.27,76.11,348.9,346.28,-3.82,-4.61,False,False
Minor Pulses,1,2014,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,304,447.79,885.42,-1.3559,54.84,71.97,348.9,346.28,-28.34,-29.31,False,False
Minor Pulses,2,2015,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,310,265.87,425.73,-0.227,48.09,41.37,280.63,265.87,5.26,0.0,True,False
Minor Pulses,2,2015,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,310,292.13,469.29,-0.4909,45.43,48.61,280.63,265.87,-4.1,-9.88,False,False
Minor Pulses,2,2015,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,310,261.08,449.34,-0.3668,40.97,41.5,280.63,265.87,6.97,1.8,True,True
Minor Pulses,2,2015,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,310,301.16,483.94,-0.5854,46.55,49.54,280.63,265.87,-7.32,-13.27,False,False
Minor Pulses,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,310,300.95,519.23,-0.825,50.14,44.86,280.63,265.87,-7.24,-13.19,False,False
Minor Pulses,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,311,372.3,1089.22,-0.0931,34.79,38.98,353.34,372.3,-5.37,0.0,False,False
Minor Pulses,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,311,366.09,1045.98,-0.0081,35.32,40.62,353.34,372.3,-3.61,1.67,False,True
Minor Pulses,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,311,399.33,1097.72,-0.1103,39.98,42.23,353.34,372.3,-13.02,-7.26,False,False
Minor Pulses,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,311,363.11,1066.71,-0.0484,33.01,38.77,353.34,372.3,-2.77,2.47,False,True
Minor Pulses,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,311,371.1,1081.72,-0.0781,33.49,40.3,353.34,372.3,-5.03,0.32,False,True
Minor Pulses,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,GradientBoostingRegressor,307,405.08,1479.09,0.1174,37.2,35.5,397.8,405.08,-1.83,0.0,False,False
Minor Pulses,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,GradientBoostingRegressor,307,432.41,1573.67,0.0009,37.97,37.79,397.8,405.08,-8.7,-6.75,False,False
Minor Pulses,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,GradientBoostingRegressor,307,421.84,1527.49,0.0586,36.14,36.47,397.8,405.08,-6.04,-4.14,False,False
Minor Pulses,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,GradientBoostingRegressor,307,422.71,1541.48,0.0413,35.41,37.1,397.8,405.08,-6.26,-4.35,False,False
Minor Pulses,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,GradientBoostingRegressor,307,396.44,1594.49,-0.0257,32.75,34.14,397.8,405.08,0.34,2.13,True,True
Maize,1,2014,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,301,553.81,843.42,0.7103,28.55,33.14,537.63,553.81,-3.01,0.0,False,False
