crop,fold_id,test_year,experiment_id,experiment_name,feature_group,n_features,algorithm,test_records,mae,rmse,r2,mape,smape,baseline_mae,historical_mae,improvement_vs_baseline_pct,improvement_vs_historical_pct,win_vs_baseline,win_vs_historical
Pearl Millet,2,2015,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,307,276.17,443.35,0.7178,35.48,107.72,250.79,274.29,-10.12,-0.69,False,False
Pearl Millet,3,2016,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,310,277.68,623.72,0.6023,34.64,106.05,268.43,277.68,-3.44,0.0,False,False
Pearl Millet,3,2016,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,310,287.78,607.62,0.6225,35.14,105.52,268.43,277.68,-7.21,-3.64,False,False
Pearl Millet,3,2016,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,310,277.37,618.34,0.6091,36.1,107.01,268.43,277.68,-3.33,0.11,False,True
Pearl Millet,3,2016,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,310,306.33,621.5,0.6051,34.72,105.66,268.43,277.68,-14.12,-10.32,False,False
Pearl Millet,3,2016,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,310,303.53,616.45,0.6115,35.4,105.69,268.43,277.68,-13.08,-9.31,False,False
Pearl Millet,4,2017,EXP-22A,Historical Only (Model A),HISTORICAL,7,RandomForestRegressor,306,278.85,471.95,0.7014,481.46,102.87,261.73,278.85,-6.54,0.0,False,False
Pearl Millet,4,2017,EXP-22B,Historical + Rainfall,HIST_PLUS_RAINFALL,10,RandomForestRegressor,306,274.84,471.4,0.7021,460.79,102.24,261.73,278.85,-5.01,1.44,False,True
Pearl Millet,4,2017,EXP-22C,Historical + Temperature,HIST_PLUS_TEMP,10,RandomForestRegressor,306,281.8,479.74,0.6915,538.33,102.58,261.73,278.85,-7.67,-1.06,False,False
Pearl Millet,4,2017,EXP-22D,Historical + Rainfall + Temperature,HIST_PLUS_WEATHER,13,RandomForestRegressor,306,282.75,474.25,0.6985,473.68,102.44,261.73,278.85,-8.03,-1.4,False,False
Pearl Millet,4,2017,EXP-22E,Historical + All Exogenous (Model B),HIST_PLUS_ALL_EXO,17,RandomForestRegressor,306,278.81,472.05,0.7013,502.69,102.11,261.73,278.85,-6.53,0.01,False,True
