record_id,source,dataset_version,country,state_raw,state,district_raw,district,year,season_raw,season,crop_raw,crop,area_ha,production_tonnes,yield_kg_ha
ICR_1_2012_SOY_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,SOYABEAN,Soyabean,85050.0,101620.0,1194.76
ICR_1_2012_OIL_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,OILSEEDS,Oilseeds,104270.0,109660.0,1051.69
ICR_1_2012_SUG_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,SUGARCANE,Sugarcane,4970.0,1260.0,252.98
ICR_1_2012_COT_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,COTTON,Cotton,130.0,20.0,153.85
ICR_1_2012_FRU_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,FRUITS,Fruits,1990.0,,
ICR_1_2012_VEG_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,VEGETABLES,Vegetables,33700.0,,
ICR_1_2012_FRU_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,FRUITS AND VEGETABLES,Fruits and Vegetables,35690.0,,
ICR_1_2012_POT_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,POTATOES,Potatoes,120.0,,
ICR_1_2012_ONI_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,ONION,Onion,540.0,,
ICR_1_2012_FOD_2,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2012,Annual,Annual,FODDER,Fodder,1320.0,,
ICR_1_2013_RIC_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,RICE,Rice,819440.0,1296240.0,1581.86
ICR_1_2013_WHE_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Annual,Annual,WHEAT,Wheat,41540.0,43330.0,1043.06
ICR_1_2013_KHA_3,ICRISAT_DLD_1966_2017,AGRI_PANEL_1.0,India,Chhattisgarh,Chhattisgarh,Durg,Durg,2013,Kharif,Kharif,KHARIF SORGHUM,Kharif Sorghum,0.0,0.0,0.0
