crop,model,train_period,test_period,train_records,test_records,mae,rmse,r2,mape,smape,valid_predictions,invalid_predictions,notes,status
Rice,Linear District Trend,2010-2015,2016-2017,1673,557,388.42,554.5,0.6165,19.3,19.6,557,0,Ordinary least squares district temporal trend,EVALUATED
Safflower,Naive Persistence (t-1),2010-2015,2016-2017,270,120,277.94,541.91,-0.6176,62.19,44.82,120,0,1-year historical district lag persistence,EVALUATED
Safflower,Historical District Mean,2010-2015,2016-2017,270,120,221.92,389.35,0.165,56.74,36.36,120,0,District historical mean (2010-2015),EVALUATED
Safflower,Historical Crop Mean,2010-2015,2016-2017,270,120,254.37,426.08,-0.0,70.39,40.57,120,0,National historical crop mean (2010-2015),EVALUATED
Safflower,Linear District Trend,2010-2015,2016-2017,270,120,287.77,456.29,-0.1468,64.72,48.15,120,0,Ordinary least squares district temporal trend,EVALUATED
Sesamum,Naive Persistence (t-1),2010-2015,2016-2017,1537,531,125.76,199.94,0.4193,69.39,32.96,531,0,1-year historical district lag persistence,EVALUATED
Sesamum,Historical District Mean,2010-2015,2016-2017,1537,531,117.69,193.26,0.4574,73.53,28.4,531,0,District historical mean (2010-2015),EVALUATED
Sesamum,Historical Crop Mean,2010-2015,2016-2017,1537,531,198.63,263.36,-0.0076,112.26,45.85,531,0,National historical crop mean (2010-2015),EVALUATED
Sesamum,Linear District Trend,2010-2015,2016-2017,1537,531,147.88,233.38,0.2087,64.81,37.68,531,0,Ordinary least squares district temporal trend,EVALUATED
Sorghum,Naive Persistence (t-1),2010-2015,2016-2017,1229,397,354.09,531.2,0.3698,34.86,32.05,397,0,1-year historical district lag persistence,EVALUATED
Sorghum,Historical District Mean,2010-2015,2016-2017,1229,397,305.79,449.39,0.549,33.51,26.88,397,0,District historical mean (2010-2015),EVALUATED
Sorghum,Historical Crop Mean,2010-2015,2016-2017,1229,397,485.95,672.18,-0.0091,63.27,42.13,397,0,National historical crop mean (2010-2015),EVALUATED
Sorghum,Linear District Trend,2010-2015,2016-2017,1229,397,434.91,629.14,0.116,42.57,40.8,397,0,Ordinary least squares district temporal trend,EVALUATED
Soyabean,Naive Persistence (t-1),2010-2015,2016-2017,770,264,356.89,465.44,-0.2328,41.16,38.67,264,0,1-year historical district lag persistence,EVALUATED
Soyabean,Historical District Mean,2010-2015,2016-2017,770,264,287.57,375.92,0.1958,35.85,28.2,264,0,District historical mean (2010-2015),EVALUATED
Soyabean,Historical Crop Mean,2010-2015,2016-2017,770,264,339.97,419.19,-0.0,42.94,32.35,264,0,National historical crop mean (2010-2015),EVALUATED
Soyabean,Linear District Trend,2010-2015,2016-2017,770,264,420.52,543.32,-0.68,40.82,48.73,264,0,Ordinary least squares district temporal trend,EVALUATED
